Especie;Precio de compra;Precio de venta;Apertura;Precio Maximo;Precio Minimo
ALUA;17,000000;17,900000;17,200001;17,650000;17,100000
BBAR;165,000000;170,000000;161,000000;169,899994;161,000000
BMA;305,000000;316,000000;308,600006;317,000000;300,000000
BYMA;343,000000;370,000000;359,000000;361,500000;348,000000
CEPU;35,099998;41,000000;36,000000;38,200001;37,000000
COME;0,000000;1,880000;1,860000;1,880000;1,740000
CRES;40,099998;44,500000;39,349998;44,000000;42,000000
CVH;194,000000;260,000000;238,000000;240,000000;228,000000
EDN;38,299999;41,000000;39,200001;40,000000;39,150002
GGAL;151,000000;184,000000;140,550003;162,300003;157,500000
MIRG;300,000000;338,000000;330,000000;331,000000;322,000000
PAMP;57,200001;59,900002;58,400002;58,599998;57,200001
SUPV;55,000000;68,000000;65,699997;66,699997;64,000000
TECO2;0,000000;140,000000;136,600006;136,600006;126,500000
TGNO4;70,000000;79,000000;65,000000;73,900002;70,099998
TGSU2;134,500000;140,000000;136,949997;139,500000;135,000000
TRAN;40,200001;48,450001;38,200001;46,500000;44,700001
TXAR;11,650000;14,800000;14,550000;14,550000;14,000000
VALO;7,200000;7,920000;7,540000;7,900000;7,390000
YPFD;700,000000;780,000000;720,000000;723,000000;703,900024
